sim_year,agent_gender,agent_race,albumin_scenario,eGFR_stage,age_group,mortality_rate
1990,female,indian,2,2,35-39,0.001
1990,female,indian,2,1,40-44,0.0014
1990,female,indian,2,2,40-44,0.0014
1990,female,indian,2,1,45-49,0.0024
1990,female,indian,2,2,45-49,0.0024
1990,female,indian,2,1,5-9,0.0001
1990,female,indian,2,2,5-9,0.0001
1990,female,indian,2,1,50-54,0.0042
1990,female,indian,2,2,50-54,0.0042
1990,female,indian,2,1,55-59,0.007390013495276656
1990,female,indian,2,2,55-59,0.007390013495276656
1990,female,indian,2,3.1,55-59,0.008868016194331986
1990,female,indian,2,1,60-64,0.0109
1990,female,indian,2,2,60-64,0.0109
1990,female,indian,2,1,65-69,0.0186
1990,female,indian,2,2,65-69,0.0186
1990,female,indian,2,1,70-74,0.0313
1990,female,indian,2,2,70-74,0.0313
1990,female,indian,2,1,75-79,0.0477999999999999
1990,female,indian,2,2,75-79,0.0477999999999999
1990,female,indian,2,1,80-84,0.0785999999999999
1990,female,indian,2,1,85+,0.1294
1990,female,indian,2,2,85+,0.1294
1990,female,indian,3,1,0,0.0062
1990,female,indian,3,2,0,0.0062
1990,female,indian,3,1,1-4,0.0002
1990,female,indian,3,2,1-4,0.0002
1990,female,indian,3,1,10-14,0.0002
1990,female,indian,3,2,10-14,0.0002
1990,female,indian,3,1,15-19,0.0002
1990,female,indian,3,2,15-19,0.0002
1990,female,indian,3,1,20-24,0.0004
1990,female,indian,3,2,20-24,0.0004
1990,female,indian,3,1,25-29,0.0004
1990,female,indian,3,2,25-29,0.0004
1990,female,indian,3,1,30-34,0.0006
1990,female,indian,3,2,30-34,0.0006
1990,female,indian,3,1,35-39,0.001
1990,female,indian,3,2,35-39,0.001
1990,female,indian,3,1,40-44,0.0014
1990,female,indian,3,2,40-44,0.0014
1990,female,indian,3,1,45-49,0.0024
1990,female,indian,3,2,45-49,0.0024
1990,female,indian,3,1,5-9,0.0001
1990,female,indian,3,2,5-9,0.0001
1990,female,indian,3,1,50-54,0.0042
1990,female,indian,3,2,50-54,0.0042
1990,female,indian,3,1,55-59,0.007400000000000001
1990,female,indian,3,2,55-59,0.007400000000000001
1990,female,indian,3,1,60-64,0.0109
1990,female,indian,3,2,60-64,0.0109
1990,female,indian,3,1,65-69,0.018546242774566474
1990,female,indian,3,2,65-69,0.018546242774566474
1990,female,indian,3,3.1,65-69,0.02225549132947977
1990,female,indian,3,1,70-74,0.030965240641711227
1990,female,indian,3,2,70-74,0.030965240641711227
1990,female,indian,3,3.1,70-74,0.03715828877005348
1990,female,indian,3,1,75-79,0.04727472527472518
1990,female,indian,3,2,75-79,0.04727472527472518
1990,female,indian,3,3.1,75-79,0.05672967032967021
1990,female,indian,3,1,80-84,0.0785999999999999
1990,female,indian,3,1,85+,0.1294
1990,female,indian,4,1,0,0.0062
1990,female,indian,4,2,0,0.0062
1990,female,indian,4,1,1-4,0.0002
1990,female,indian,4,2,1-4,0.0002
1990,female,indian,4,1,10-14,0.0002
1990,female,indian,4,2,10-14,0.0002
1990,female,indian,4,1,15-19,0.0002
1990,female,indian,4,2,15-19,0.0002
1990,female,indian,4,1,20-24,0.0004
1990,female,indian,4,2,20-24,0.0004
1990,female,indian,4,1,25-29,0.0004
1990,female,indian,4,2,25-29,0.0004
1990,female,indian,4,1,30-34,0.0006
1990,female,indian,4,2,30-34,0.0006
1990,female,indian,4,1,35-39,0.001
1990,female,indian,4,2,35-39,0.001
1990,female,indian,4,1,40-44,0.0014
1990,female,indian,4,2,40-44,0.0014
1990,female,indian,4,1,45-49,0.0024
1990,female,indian,4,2,45-49,0.0024
1990,female,indian,4,1,5-9,0.0001
1990,female,indian,4,2,5-9,0.0001
1990,female,indian,4,1,50-54,0.0042
1990,female,indian,4,2,50-54,0.0042
1990,female,indian,4,1,55-59,0.007400000000000001
1990,female,indian,4,2,55-59,0.007400000000000001
1990,female,indian,4,1,60-64,0.0109
1990,female,indian,4,2,60-64,0.0109
1990,female,indian,4,1,65-69,0.0186
1990,female,indian,4,2,65-69,0.0186
1990,female,indian,4,1,70-74,0.03113172043010753
1990,female,indian,4,2,70-74,0.03113172043010753
1990,female,indian,4,3.1,70-74,0.03735806451612904
1990,female,indian,4,1,75-79,0.0477999999999999
1990,female,indian,4,2,75-79,0.0477999999999999
1990,female,indian,4,1,80-84,0.0785999999999999
1990,female,indian,4,2,80-84,0.0785999999999999
1990,female,indian,4,1,85+,0.1294
1990,female,indian,4,2,85+,0.1294
1990,female,malay,0,1,0,0.0062
1990,female,malay,0,2,0,0.0062
1990,female,malay,0,1,1-4,0.0002
1990,female,malay,0,2,1-4,0.0002
1990,female,malay,0,1,10-14,0.0002
1990,female,malay,0,2,10-14,0.0002
1990,female,malay,0,1,15-19,0.0002
1990,female,malay,0,2,15-19,0.0002
1990,female,malay,0,1,20-24,0.0004
1990,female,malay,0,2,20-24,0.0004
1990,female,malay,0,1,25-29,0.0004
1990,female,malay,0,2,25-29,0.0004
1990,female,malay,0,1,30-34,0.0006
1990,female,malay,0,2,30-34,0.0006
1990,female,malay,0,1,35-39,0.001
1990,female,malay,0,2,35-39,0.001
1990,female,malay,0,1,40-44,0.0014
1990,female,malay,0,2,40-44,0.0014
1990,female,malay,0,1,45-49,0.0024
1990,female,malay,0,2,45-49,0.0024
1990,female,malay,0,1,5-9,0.0001
1990,female,malay,0,2,5-9,0.0001
1990,female,malay,0,1,50-54,0.004192307692307692
1990,female,malay,0,2,50-54,0.004192307692307692
1990,female,malay,0,3.1,50-54,0.00503076923076923
1990,female,malay,0,1,55-59,0.0073866103739445126
1990,female,malay,0,2,55-59,0.0073866103739445126
1990,female,malay,0,3.1,55-59,0.008863932448733415
1990,female,malay,0,1,60-64,0.010850114416475971
1990,female,malay,0,2,60-64,0.010850114416475971
1990,female,malay,0,3.1,60-64,0.013020137299771166
1990,female,malay,0,3.2,60-64,0.01953020594965675
1990,female,malay,0,1,65-69,0.018273684210526317
1990,female,malay,0,2,65-69,0.018273684210526317
1990,female,malay,0,3.1,65-69,0.021928421052631576
1990,female,malay,0,3.2,65-69,0.03289263157894737
1990,female,malay,0,1,70-74,0.03023295454545455
1990,female,malay,0,2,70-74,0.03023295454545455
1990,female,malay,0,3.1,70-74,0.03627954545454546
1990,female,malay,0,3.2,70-74,0.05441931818181819
1990,female,malay,0,1,75-79,0.04465743944636669
1990,female,malay,0,2,75-79,0.04465743944636669
1990,female,malay,0,3.1,75-79,0.05358892733564002
1990,female,malay,0,3.2,75-79,0.08038339100346004
1990,female,malay,0,1,80-84,0.07518260869565209
1990,female,malay,0,2,80-84,0.07518260869565209
1990,female,malay,0,3.1,80-84,0.09021913043478251
1990,female,malay,0,3.2,80-84,0.13532869565217376
1990,female,malay,0,1,85+,0.12727868852459012
1990,female,malay,0,2,85+,0.12727868852459012
1990,female,malay,0,3.1,85+,0.15273442622950814
1990,female,malay,1,1,0,0.0062
1990,female,malay,1,2,0,0.0062
1990,female,malay,1,1,1-4,0.0002
1990,female,malay,1,2,1-4,0.0002
1990,female,malay,1,1,10-14,0.0002
1990,female,malay,1,2,10-14,0.0002
1990,female,malay,1,1,15-19,0.0002
1990,female,malay,1,2,15-19,0.0002
1990,female,malay,1,1,20-24,0.0004
1990,female,malay,1,2,20-24,0.0004
1990,female,malay,1,1,25-29,0.0004
1990,female,malay,1,2,25-29,0.0004
1990,female,malay,1,1,30-34,0.0006
